<ID|readonly|noverify>;<English>
//AI UNITS

//GROUPS

//KILLSTREAK VEHICLES

//NON-NATIONAL VEHICLES

//AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//AIRCRAFT - VEHICLE/FAMILY START: RANK 4
il_zsu_57_2_shop;2-57-.וי.סא.יז 
il_zsu_57_2_0;"<color=#81c3fc>Омский завод № 174 им. Ворошилова</color>
2-57-.וי.סא.יז מ״נ ת״מות "
il_zsu_57_2_1;2-57-.וי.סא.יז 
il_zsu_57_2_2;SPAAG

//AIRCRAFT - VEHICLE/FAMILY START: RANK 5
il_tiran_4_shop;4 ןריט
il_tiran_4_0;"<color=#81c3fc>שומיחה ליח <color=@commonTextColor>/</color> Уральский вагоностроительный завод им. И. В. Сталина</color>
4 ןריט קנט"
il_tiran_4_1;4 ןריט
il_tiran_4_2;MBT
il_tiran_4_sh_shop;(early) ש 4 ןריט
il_tiran_4_sh_0;"<color=#81c3fc>שומיחה ליח <color=@commonTextColor>/</color> Уральский вагоностроительный завод им. И. В. Сталина</color>
רירש 4 ןריט קנט
<color=#adadad>(early)</color>"
il_tiran_4_sh_1;ש 4 ןריט
il_tiran_4_sh_2;MBT
il_zsu_23_4_shop;שידנאג
il_zsu_23_4_0;"<color=#81c3fc>Мытищинский ордена Отечественной войны 1 степени
машиностроительный завод</color>
<color=#7ce68f>4-23-.וי.סא.יז מ״נ ת״מות</color>
שידנאג מ״נ ת״מות"
il_zsu_23_4_1;שידנאג
il_zsu_23_4_2;SPAAG

//AIRCRAFT - VEHICLE/FAMILY START: RANK 6
il_tiran_6_shop;6 ןריט
il_tiran_6_0;"<color=#81c3fc>שומיחה ליח <color=@commonTextColor>/</color> Уральским вагоностроительным заводом им. Ф. Э.
Дзержинского</color>
6 ןריט קנט"
il_tiran_6_1;6 ןריט
il_tiran_6_2;MBT

//AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//AIRCRAFT - VEHICLE/FAMILY START: RANK 8

//AIRCRAFT - VEHICLE/FAMILY START: RANK 9

//HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//HELICOPTERS - VEHICLE/FAMILY START: RANK 8

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7;MBT

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 7
