<ID|readonly|noverify>;<English>
//AI UNITS

//GROUPS

//KILLSTREAK VEHICLES

//NON-NATIONAL VEHICLES

//AIRCRAFT - VEHICLE/FAMILY START: RANK 1
f1m2_shop;F1M2
f1m2_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>零式観測機</color>
F1M2"
f1m2_1;F1M2
f1m2_2;F1M

a5m4_shop;A5M4
a5m4_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>九六式四号艦上戦闘機四型</color>
A5M4"
a5m4_1;A5M4
a5m4_2;A5M4

a5m4_hagiri_shop;羽切のA5M4
a5m4_hagiri_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>九六式四号艦上戦闘機四型</color>
A5M4
<color=@currencyGoldColor>羽切松雄の</color>"
a5m4_hagiri_1;A5M4
a5m4_hagiri_2;A5M

ki_10_1_shop;キ10-I
ki_10_1_0;"<color=#81c3fc>川崎航空機工業</color>
<color=#7ce68f>九五式戦闘機一型</color>
キ10-I"
ki_10_1_1;キ10-I
ki_10_1_2;キ10

ki_10_1_commander_shop;キ10-I (一戦隊)
ki_10_1_commander_0;"<color=#81c3fc>川崎航空機工業</color>
<color=#7ce68f>九五式戦闘機一型</color>
キ10-I
<color=@currencyGoldColor>飛行第一戦隊</color>"
ki_10_1_commander_1;キ10-I
ki_10_1_commander_2;キ10

ki_10_2_shop;キ10-II
ki_10_2_0;"<color=#81c3fc>川崎航空機工業</color>
<color=#7ce68f>九五式戦闘機二型</color>
キ10-II"
ki_10_2_1;キ10-II
ki_10_2_2;キ10

ki_10_2_commander_shop;キ10-II (七十七戦隊)
ki_10_2_commander_0;"<color=#81c3fc>川崎航空機工業</color>
<color=#7ce68f>九五式戦闘機二型</color>
キ10-II
<color=@currencyGoldColor>飛行第七十七戦隊</color>"
ki_10_2_commander_1;キ10-II
ki_10_2_commander_2;キ10

ki-27_otsu_shop;キ27乙
ki-27_otsu_0;"<color=#81c3fc>中島飛行機</color>
<color=#7ce68f>九七式戦闘機乙</color>
キ27乙"
ki-27_otsu_1;キ27乙
ki-27_otsu_2;キ27

ki-27_otsu_ep_shop;キ27乙 (四戦隊)
ki-27_otsu_ep_0;"<color=#81c3fc>中島飛行機</color>
<color=#7ce68f>九七式戦闘機乙</color>
キ27乙
<color=@currencyGoldColor>飛行第四戦隊</color>"
ki-27_otsu_ep_1;キ27乙
ki-27_otsu_ep_2;キ27

ki_43_1_shop;キ43-I丙
ki_43_1_0;"<color=#81c3fc>中島飛行機</color>
<color=#7ce68f>一式戦闘機一型丙</color>
キ43-I丙「隼」"
ki_43_1_1;キ43-I
ki_43_1_2;キ43

ki_43_2_shop;キ43-II (late)
ki_43_2_0;"<color=#81c3fc>中島飛行機</color>
<color=#7ce68f>一式戦闘機二型</color>
キ43-II「隼」
<color=#adadad>(late)</color>"
ki_43_2_1;キ43-II
ki_43_2_2;キ43

ki_43_2_late_shop;▃ キ43-II (early)
ki_43_2_late_0;"<color=#81c3fc>中島飛行機</color>
<color=#7ce68f>一式戦闘機二型</color>
▃ キ43-II「隼」
<color=#adadad>(early)</color>"
ki_43_2_late_1;▃ キ43-II
ki_43_2_late_2;▃ キ43

ki_43_3_otsu_shop;キ43-III乙
ki_43_3_otsu_0;"<color=#81c3fc>中島飛行機 <color=@commonTextColor>/</color> 立川飛行機</color>
<color=#7ce68f>一式戦闘機三型乙</color>
キ43-III乙「隼」"
ki_43_3_otsu_1;キ43-III
ki_43_3_otsu_2;キ43

ki-45_tei_shop;キ45改丙 (丁)
ki-45_tei_0;"<color=#81c3fc>川崎航空機工業</color>
<color=#7ce68f>二式複座戦闘機丙</color>
キ45改丙「屠龍」
<color=#adadad>(丁装備)</color>"
ki-45_tei_1;キ45改
ki-45_tei_2;キ45

ki-45_otsu_shop;キ45改乙
ki-45_otsu_0;"<color=#81c3fc>川崎航空機工業</color>
<color=#7ce68f>二式複座戦闘機乙</color>
キ45改乙「屠龍」"
ki-45_otsu_1;キ45改
ki-45_otsu_2;キ45

ki-45_ko_shop;キ45改甲
ki-45_ko_0;"<color=#81c3fc>川崎航空機工業</color>
<color=#7ce68f>二式複座戦闘機甲</color>
キ45改甲「屠龍」"
ki-45_ko_1;キ45改
ki-45_ko_2;キ45

ki-45_ko_tei_shop;キ45改甲
ki-45_ko_tei_0;"<color=#81c3fc>川崎航空機工業</color>
<color=#7ce68f>二式複座戦闘機甲</color>
キ45改甲「屠龍」
<color=#adadad>(丁装備)</color>"
ki-45_ko_tei_1;キ45改
ki-45_ko_tei_2;キ45

ki-45_hei_shop;キ45改丙
ki-45_hei_0;"<color=#81c3fc>川崎航空機工業</color>
<color=#7ce68f>二式複座戦闘機丙</color>
キ45改丙「屠龍」"
ki-45_hei_1;キ45改
ki-45_hei_2;キ45

ki-45_hei_tei_shop;キ45改丙 (丁)
ki-45_hei_tei_0;"<color=#81c3fc>川崎航空機工業</color>
<color=#7ce68f>二式複座戦闘機丙</color>
キ45改丙「屠龍」
<color=#adadad>(丁装備)</color>"
ki-45_hei_tei_1;キ45改
ki-45_hei_tei_2;キ45

ki_109_shop;キ109
ki_109_0;"<color=#81c3fc>三菱重工業</color>
キ109"
ki_109_1;キ109
ki_109_2;キ109

b5n2_shop;B5N2
b5n2_0;"<color=#81c3fc>中島飛行機</color>
<color=#7ce68f>九七式艦上攻撃機一二型</color>
B5N2"
b5n2_1;B5N2
b5n2_2;B5N

d3a1_shop;D3A1
d3a1_0;"<color=#81c3fc>愛知航空機</color>
<color=#7ce68f>九九式艦上爆撃機一一型</color>
D3A1"
d3a1_1;D3A1
d3a1_2;D3A

b6n1_shop;B6N1
b6n1_0;"<color=#81c3fc>中島飛行機</color>
<color=#7ce68f>天山一一型</color>
B6N1"
b6n1_1;B6N1
b6n1_2;B6N

b6n2_shop;B6N2
b6n2_0;"<color=#81c3fc>中島飛行機</color>
<color=#7ce68f>天山一二型</color>
B6N2"
b6n2_1;B6N2
b6n2_2;B6N

b6n2a_shop;B6N2甲
b6n2a_0;"<color=#81c3fc>中島飛行機</color>
<color=#7ce68f>天山一二型甲</color>
B6N2甲"
b6n2a_1;B6N2
b6n2a_2;B6N

ki_32_shop;キ32
ki_32_0;"<color=#81c3fc>川崎航空機工業</color>
<color=#7ce68f>九八式軽爆撃機</color>
キ32"
ki_32_1;キ32
ki_32_2;キ32

ki_21_1ko_shop;キ21-I甲
ki_21_1ko_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>九七式重爆撃機一型甲</color>
キ21-I甲"
ki_21_1ko_1;キ21-I
ki_21_1ko_2;キ21

ki_21_1hei_shop;キ21-I丙
ki_21_1hei_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>九七式重爆撃機一型丙</color>
キ21-I丙"
ki_21_1hei_1;キ21-I
ki_21_1hei_2;キ21

h6k4_shop;H6K4
h6k4_0;"<color=#81c3fc>川西航空機</color>
<color=#7ce68f>九七式飛行艇二二型</color>
H6K4"
h6k4_1;H6K4
h6k4_2;H6K

e7k2_shop;E7K2
e7k2_0;"<color=#81c3fc>川西航空機</color>
<color=#7ce68f>九四式二号水上偵察機</color>
E7K2"
e7k2_1;E7K2
e7k2_2;E7K

e8n2_shop;E8N2
e8n2_0;"<color=#81c3fc>愛知航空機</color>
<color=#7ce68f>九五式二号水上偵察機</color>
E8N2"
e8n2_1;E8N2
e8n2_2;E8N

aichi_e13a_shop;E13A1
aichi_e13a_0;"<color=#81c3fc>中島飛行機</color>
<color=#7ce68f>零式水上偵察機一一型</color>
E13A1"
aichi_e13a_1;E13A1
aichi_e13a_2;E13A

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2
a6m2_n_zero_shop;A6M2-N
a6m2_n_zero_0;"<color=#81c3fc><color=#81c3fc>中島飛行機</color></color>
<color=#7ce68f>二式水上戦闘機</color>
A6M2-N"
a6m2_n_zero_1;A6M2-N
a6m2_n_zero_2;A6M

a6m2_mod11_shop;A6M2 (一一型)
a6m2_mod11_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>零式艦上戦闘機一一型</color>
A6M2「零戦」"
a6m2_mod11_1;A6M2
a6m2_mod11_2;A6M

a6m2_zero_shop;A6M2 (二一型)
a6m2_zero_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>零式艦上戦闘機二一型</color>
A6M2「零戦」"
a6m2_zero_1;A6M2
a6m2_zero_2;A6M

a6m2_zero_usa_shop;▃ A6M2 (二一型)
a6m2_zero_usa_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>零式艦上戦闘機二一型</color>
▃ A6M2「零戦」
<color=@currencyGoldColor>«Akutan Zero»</color>"
a6m2_zero_usa_1;▃ A6M2
a6m2_zero_usa_2;▃ A6M

a6m3_zero_shop;A6M3 (三二型)
a6m3_zero_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>零式艦上戦闘機三二型</color>
A6M3「零戦」"
a6m3_zero_1;A6M3
a6m3_zero_2;A6M

a6m3_mod22_zero_shop;A6M3 (二二型)
a6m3_mod22_zero_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>零式艦上戦闘機二二型</color>
A6M3「零戦」"
a6m3_mod22_zero_1;A6M3
a6m3_mod22_zero_2;A6M

a6m3_mod22ko_zero_shop;A6M3甲
a6m3_mod22ko_zero_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>零式艦上戦闘機二二型甲</color>
A6M3甲「零戦」"
a6m3_mod22ko_zero_1;A6M3
a6m3_mod22ko_zero_2;A6M

a6m5_zero_shop;A6M5
a6m5_zero_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>零式艦上戦闘機五二型</color>
A6M5「零戦」"
a6m5_zero_1;A6M5
a6m5_zero_2;A6M

a6m5ko_shop;A6M5甲
a6m5ko_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>零式艦上戦闘機五二型甲</color>
A6M5甲「零戦」"
a6m5ko_1;A6M5
a6m5ko_2;A6M

a6m5otsu_shop;A6M5乙
a6m5otsu_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>零式艦上戦闘機五二型乙</color>
A6M5乙「零戦」"
a6m5otsu_1;A6M5
a6m5otsu_2;A6M

a6m5hei_shop;A6M5丙
a6m5hei_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>零式艦上戦闘機五二型丙</color>
A6M5丙「零戦」"
a6m5hei_1;A6M5
a6m5hei_2;A6M

a6m6c_shop;A6M6
a6m6c_0;"<color=#81c3fc>三菱重工業</color>
<color=#7ce68f>零式艦上戦闘機五三型</color>
A6M6「零戦」"
a6m6c_1;A6M6
a6m6c_2;A6M

n1k1_kyuofu_shop;N1K1
n1k1_kyuofu_0;"<color=#81c3fc>川西航空機</color>
<color=#7ce68f>強風</color>
N1K1"
n1k1_kyuofu_1;N1K1
n1k1_kyuofu_2;N1K

n1k1_ja_shop;N1K1-J甲
n1k1_ja_0;"<color=#81c3fc>川西航空機</color>
<color=#7ce68f>紫電一一型甲</color>
N1K1-J甲"
n1k1_ja_1;N1K1
n1k1_ja_2;N1K

n1k2_j_shop;N1K2-J
n1k2_j_0;"<color=#81c3fc>川西航空機</color>
<color=#7ce68f>紫電一二型</color>
N1K2-J"
n1k2_j_1;N1K2
n1k2_j_2;N1K

n1k2_jko_shop;N1K2-J甲
n1k2_jko_0;"<color=#81c3fc>川西航空機</color>
<color=#7ce68f>紫電一二型甲</color>
N1K2-J甲"
n1k2_jko_1;N1K2
n1k2_jko_2;N1K

ki_44_1_shop;キ44-I
