<ID|readonly|noverify>;<English>

//KILLSTREAK VEHICLES

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 1
i-15bis_china_shop;☀ E-15比斯
i-15bis_china_0;"<color=#81c3fc>Московский авиационный завод № 39 им. В. Р. Менжинского</color>
☀ E-15比斯驅逐機「柒什克」"
i-15bis_china_1;☀ E-15比斯
i-15bis_china_2;☀ E-15

i-16_type5_1935_china_shop;☀ E-16-5
i-16_type5_1935_china_0;"<color=#81c3fc>Московский авиационный завод № 39 им. В. Р. Менжинского</color>
☀ E-16-5型驅逐機"
i-16_type5_1935_china_1;☀ E-16-5
i-16_type5_1935_china_2;☀ E-16

i-16_type10_china_shop;☀ E-16-10
i-16_type10_china_0;"<color=#81c3fc>Московский авиационный завод № 39 им. В. Р. Менжинского</color>
☀ E-16-10型驅逐機"
i-16_type10_china_1;☀ E-16-10
i-16_type10_china_2;☀ E-16

i-16_type17_china_shop;☀ E-16-17
i-16_type17_china_0;"<color=#81c3fc>Московский авиационный завод № 39 им. В. Р. Менжинского</color>
☀ E-16-17型驅逐機"
i-16_type17_china_1;☀ E-16-17
i-16_type17_china_2;☀ E-16

i-16_chung_28_shop;忠28甲
i-16_chung_28_0;"<color=#81c3fc>Московский авиационный завод № 39 им. В. Р. Менжинского <color=@commonTextColor>/</color>
中央飛機製造廠</color>
忠28甲型驅逐機"
i-16_chung_28_1;忠28甲
i-16_chung_28_2;忠28

i-153_m62_china_shop;☀ E-153
i-153_m62_china_0;"<color=#81c3fc>Московский авиационный завод № 39 им. В. Р. Менжинского</color>
☀ E-153驅逐機「柒什克」"
i-153_m62_china_1;☀ E-153
i-153_m62_china_2;☀ E-153

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 2
db_3a_china_shop;☀ D.B.3
db_3a_china_0;"<color=#81c3fc>Завод № 18</color>
☀ D.B.3式轟炸機"
db_3a_china_1;☀ D.B.3
db_3a_china_2;☀ D.B.3

sb_2m_103u_china_shop;☀ СБ
sb_2m_103u_china_0;"<color=#81c3fc>Авиационный завод № 22 им. С. П. Горбунова</color>
☀ СБ式輕轟炸機"
sb_2m_103u_china_1;☀ СБ
sb_2m_103u_china_2;☀ СБ

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 4
la-11_china_shop;␗ 拉11
la-11_china_0;"<color=#81c3fc>Опытно-конструкторское бюро № 301</color>
␗ 拉11型飞机"
la-11_china_1;␗ 拉11
la-11_china_2;␗ 拉11

la-9_china_shop;␗ 拉9
la-9_china_0;"<color=#81c3fc>Опытно-конструкторское бюро № 301</color>
␗ 拉9型飞机"
la-9_china_1;␗ 拉9
la-9_china_2;␗ 拉9

il-10_1946_china_shop;␗ 伊尔10 (1947)
il-10_1946_china_0;"<color=#81c3fc>Опытно-конструкторское бюро № 39</color>
␗ 伊尔10型飞机 (1947)"
il-10_1946_china_1;␗ 伊尔10
il-10_1946_china_2;␗ 伊尔10

tu-2_postwar_china_shop;␗ 杜2С-44
tu-2_postwar_china_0;"<color=#81c3fc>Центральное конструкторское бюро № 29</color>
␗ 杜2С-44型飞机"
tu-2_postwar_china_1;␗ 杜2С
tu-2_postwar_china_2;␗ 杜2

quing_6_shop;青6
quing_6_0;"<color=#81c3fc>Государственный союзный опытный завод № 49 <color=@commonTextColor>/</color>
中国特种飞行器研究所</color>
青6型飞机"
quing_6_1;青6
quing_6_2;青6

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 5
mig-9_china_shop;␗ 米格9
mig-9_china_0;"<color=#81c3fc>Опытно-конструкторское бюро № 155</color>
␗ 米格9型飞机"
mig-9_china_1;␗ 米格9
mig-9_china_2;␗ 米格9

mig-9_late_china_shop;␗ И-307
mig-9_late_china_0;"<color=#81c3fc>Опытно-конструкторское бюро № 155</color>
<color=#5cae63>изд. ФФ</color>
␗ И-307"
mig-9_late_china_1;␗ И-307
mig-9_late_china_2;␗ И-307

mig-15bis_nr23_china_shop;␗ 米格15比斯
mig-15bis_nr23_china_0;"<color=#81c3fc>Опытно-конструкторское бюро № 155 СД</color>
␗ 米格15比斯型飞机"
mig-15bis_nr23_china_1;␗ 米格15比斯
mig-15bis_nr23_china_2;␗ 米格15

mig-17_china_shop;␗ 米格17
mig-17_china_0;"<color=#81c3fc>Опытно-конструкторское бюро № 155</color>
␗ 米格17型飞机"
mig-17_china_1;␗ 米格17
mig-17_china_2;␗ 米格17

tu_4_china_shop;␗ 杜4
tu_4_china_0;"<color=#81c3fc>Опытно-конструкторское бюро № 156</color>
␗ 杜4型飞机"
tu_4_china_1;␗ 杜4
tu_4_china_2;␗ 杜4

il_28_china_shop;␗ 伊尔28
il_28_china_0;"<color=#81c3fc>Опытно-конструкторское бюро № 39</color>
␗ 伊尔28型飞机"
il_28_china_1;␗ 伊尔28
il_28_china_2;␗ 伊尔28

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 6
mig-19j_6a_shop;J6A
mig-19j_6a_0;"<color=#81c3fc>Опытно-конструкторское бюро № 155 СМ-7/3 <color=@commonTextColor>/</color> 国营松陵机械厂</color>
J6A型飞机"
mig-19j_6a_1;J6A
mig-19j_6a_2;J6

j_7_mk2_shop;J7II
j_7_mk2_0;"<color=#81c3fc>Опытно-конструкторское бюро № 155 <color=@commonTextColor>/</color> 国营132厂</color>
J7II型飞机"
j_7_mk2_1;J7II
j_7_mk2_2;J7

j_7d_shop;K/JJ7D
j_7d_0;"<color=#81c3fc>Опытно-конструкторское бюро № 155 <color=@commonTextColor>/</color> 成都飛機制造厂</color>
K/JJ7D型飞机"
j_7d_1;K/JJ7D
j_7d_2;K/JJ7

mig-17_f5_shop;▆ F5
mig-17_f5_0;"<color=#81c3fc>Опытно-конструкторское бюро № 155 <color=@commonTextColor>/</color> 国营松陵机械厂</color>
▆ Chugyŏkgi 《F5》"
mig-17_f5_1;▆ F5
mig-17_f5_2;▆ F5

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 8
j_11_shop;K/JJ11
j_11_0;"<color=#81c3fc>Компания «Сухой» <color=@commonTextColor>/</color> 沈阳飞机工业 (集团)</color>
K/JJ11型飞机 ""应龙"""
j_11_1;K/JJ11
j_11_2;K/JJ11

j_11a_shop;K/JJ11A (MLU)
j_11a_0;"<color=#81c3fc>Компания «Сухой» <color=@commonTextColor>/</color> 沈阳飞机工业 (集团)</color>
K/JJ11A型飞机 ""应龙""
<color=#9e9e9e>(Mid-Life Update)</color>"
j_11a_1;K/JJ11A
j_11a_2;K/JJ11

j_11b_shop;K/JJ11B
j_11b_0;"<color=#81c3fc>Компания «Сухой» <color=@commonTextColor>/</color> 沈阳飞机工业 (集团)</color>
K/JJ11B型飞机 ""应龙"""
j_11b_1;K/JJ11B
j_11b_2;K/JJ11

su_30mkk_shop;␗ 苏30MKK
su_30mkk_0;"<color=#81c3fc>Компания «Сухой»</color>
␗ 苏30MKK型飞机"
su_30mkk_1;␗ 苏30MKK
su_30mkk_2;␗ 苏30

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6
