<ID|readonly|noverify>;<English>

//KILLSTREAK VEHICLES
ucav_wing_loong_i_shop;GJ1
ucav_wing_loong_i_0;"<color=#81c3fc>成都飞机工业 (集团)</color>
GJ1型无人机"
ucav_wing_loong_i_1;GJ1
ucav_wing_loong_i_2;GJ1
ucav_wing_loong_i_killstreak_shop;GJ1
ucav_wing_loong_i_killstreak_0;"<color=#81c3fc>成都飞机工业 (集团)</color>
GJ1型无人机"
ucav_wing_loong_i_killstreak_1;GJ1
ucav_wing_loong_i_killstreak_2;GJ1

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 1
gladiator_mk1_china_shop;鬥士Mk. I
gladiator_mk1_china_0;"<color=#81c3fc>Gloster Aircraft Company SS.37</color>
鬥士Mk. I型驅逐機「格機」"
gladiator_mk1_china_1;鬥士Mk. I
gladiator_mk1_china_2;鬥士

ki-27_otsu_china_shop;☀ 九七式戰乙
ki-27_otsu_china_0;"<color=#81c3fc>中島飛行機</color>
☀ 九七式戰鬥機乙"
ki-27_otsu_china_1;☀ 九七式戰乙
ki-27_otsu_china_2;☀ 九七式戰

ki_43_3_ko_shop;☀ 一式戰三型甲
ki_43_3_ko_0;"<color=#81c3fc>中島飛行機 <color=@commonTextColor>/</color> 立川飛行機</color>
☀ 一式戰鬥機三型甲「隼」"
ki_43_3_ko_1;☀ 一式戰三型
ki_43_3_ko_2;☀ 一式戰

cw_21_shop;☀ C.W.21
cw_21_0;"<color=#81c3fc>Curtiss-Wright Corporation Model 21</color>
☀ C.W.21驅逐機"
cw_21_1;☀ C.W.21
cw_21_2;☀ C.W.21

i-15bis_china_shop;☀ E-15比斯
i-15bis_china_0;"<color=#81c3fc>Moskovskij aviaczionnyj zavod № 39 im. V. R. Myenžinskogo</color>
☀ E-15比斯驅逐機「柒什克」"
i-15bis_china_1;☀ E-15比斯
i-15bis_china_2;☀ E-15

i-16_type5_1935_china_shop;☀ E-16-5
i-16_type5_1935_china_0;"<color=#81c3fc>Moskovskij aviaczionnyj zavod № 39 im. V. R. Myenžinskogo</color>
☀ E-16-5型驅逐機"
i-16_type5_1935_china_1;☀ E-16-5
i-16_type5_1935_china_2;☀ E-16

i-16_type10_china_shop;☀ E-16-10
i-16_type10_china_0;"<color=#81c3fc>Moskovskij aviaczionnyj zavod № 39 im. V. R. Myenžinskogo</color>
☀ E-16-10型驅逐機"
i-16_type10_china_1;☀ E-16-10
i-16_type10_china_2;☀ E-16

i-16_type17_china_shop;☀ E-16-17
i-16_type17_china_0;"<color=#81c3fc>Moskovskij aviaczionnyj zavod № 39 im. V. R. Myenžinskogo</color>
☀ E-16-17型驅逐機"
i-16_type17_china_1;☀ E-16-17
i-16_type17_china_2;☀ E-16

i-16_chung_28_shop;忠28甲
i-16_chung_28_0;"<color=#81c3fc>Moskovskij aviaczionnyj zavod № 39 im. V. R. Myenžinskogo <color=@commonTextColor>/</color>
中央飛機製造廠</color>
忠28甲型驅逐機"
i-16_chung_28_1;忠28甲
i-16_chung_28_2;忠28

i-153_m62_china_shop;☀ E-153
i-153_m62_china_0;"<color=#81c3fc>Moskovskij aviaczionnyj zavod № 39 im. V. R. Myenžinskogo</color>
☀ E-153驅逐機「柒什克」"
i-153_m62_china_1;☀ E-153
i-153_m62_china_2;☀ E-153

hs-123a-1_china_shop;☀ Hs 123 A-1
hs-123a-1_china_0;"<color=#81c3fc>Henschel Flugzeug-Werke</color>
☀ Hs 123 A-1型轟炸機「恆機」"
hs-123a-1_china_1;☀ Hs 123 A
hs-123a-1_china_2;☀ Hs 123

v_11g_shop;☀ V-11-G
v_11g_0;"<color=#81c3fc>Vultee Aircraft V-11-G</color>
☀ V-11-G型轟炸機"
v_11g_1;☀ V-11-G
v_11g_2;☀ V-11

v_12d_shop;☀ V-12-D
v_12d_0;"<color=#81c3fc>Vultee Aircraft V-12-D</color>
☀ V-12-D型轟炸機"
v_12d_1;☀ V-12-D
v_12d_2;☀ V-12

martin_139wc_shop;☀ 馬丁139
martin_139wc_0;"<color=#81c3fc>Glenn L. Martin Company Model 139WC</color>
馬丁139式轟炸機"
martin_139wc_1;☀ 馬丁139
martin_139wc_2;☀ 馬丁139

hawk_iii_shop;☀ 霍克III
hawk_iii_0;"<color=#81c3fc>Curtiss-Wright Corporation Hawk Model 68C <color=@commonTextColor>/</color> 中央飛機製造廠</color>
☀ 霍克III驅逐機"
hawk_iii_1;☀ 霍克III
hawk_iii_2;☀ 霍克III

h-75m_china_shop;☀ 霍克75H
h-75m_china_0;"<color=#81c3fc>Curtiss-Wright Corporation Hawk Model 75H</color>
☀ 霍克75H驅逐機"
h-75m_china_1;☀ 霍克75H
h-75m_china_2;☀ 霍克75

d_510c_shop;☀ D.510C
d_510c_0;"<color=#81c3fc>Constructions Aéronautiques Émile Dewoitine</color>
☀ D.510C型驅逐機「地機」"
d_510c_1;☀ D.510C
d_510c_2;☀ D.510

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 2
p-66_shop;P-48-C
p-66_0;"<color=#81c3fc>Vultee Aircraft V-48-C</color>
P-48-C型驅逐機「前鋒」"
p-66_1;P-48-C
p-66_2;P-48

p-43a-1_china_shop;☀ P-43
p-43a-1_china_0;"<color=#81c3fc>Republic Aviation Corporation AP-4A</color>
☀ P-43式驅逐機"
p-43a-1_china_1;☀ P-43
p-43a-1_china_2;☀ P-43

p-40e_china_shop;☀ P-40E-CU
p-40e_china_0;"<color=#81c3fc>Curtiss-Wright Corporation Hawk Model 87B-2</color>
☀ P-40E-CU型驅逐機"
p-40e_china_1;☀ P-40E
p-40e_china_2;☀ P-40

a_29_hudson_shop;☀ A-29-LO
a_29_hudson_0;"<color=#81c3fc>Lockheed Corporation Model 414</color>
☀ A-29-LO式轟炸機"
a_29_hudson_1;☀ A-29
a_29_hudson_2;☀ A-29

db_3a_china_shop;☀ D.B.3
db_3a_china_0;"<color=#81c3fc>Zavod № 18</color>
☀ D.B.3式轟炸機"
db_3a_china_1;☀ D.B.3
db_3a_china_2;☀ D.B.3

sb_2m_103u_china_shop;☀ SB
sb_2m_103u_china_0;"<color=#81c3fc>Aviaczionnyj zavod № 22 im. S. P. Gorbunova</color>
☀ SB式輕轟炸機"
sb_2m_103u_china_1;☀ SB
sb_2m_103u_china_2;☀ SB

p1y1_mod11_china_shop;☀ 銀河一一型
p1y1_mod11_china_0;"<color=#81c3fc>中島飛行機</color>
☀ 銀河一一型轟炸機"
p1y1_mod11_china_1;☀ 銀河一一型
p1y1_mod11_china_2;☀ 銀河

p-40c_china_shop;☀ 霍克81A-3
p-40c_china_0;"<color=#81c3fc>Curtiss-Wright Corporation Hawk Model 81A-3 <color=@commonTextColor>/</color> 中央飛機製造廠</color>
☀ 霍克81A-3型驅逐機"
p-40c_china_1;☀ 霍克81A
p-40c_china_2;☀ 霍克81

ki-45_hei_tei_china_shop;☀ 二式雙座戰丙 (丁)
ki-45_hei_tei_china_0;"<color=#81c3fc>川崎航空機工業</color>
☀ 二式雙座戰鬥機丙「屠龍」
<color=#adadad>(丁装備)</color>"
ki-45_hei_tei_china_1;☀ 二式雙座戰丙
ki-45_hei_tei_china_2;☀ 二式雙座戰

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 3
p-47d_23_ra_china_rocaf_shop;☀ P-47D-23-RA
p-47d_23_ra_china_rocaf_0;"<color=#81c3fc>Republic Aviation Corporation AP-10</color>
☀ P-47D-23-RA型驅逐機"
p-47d_23_ra_china_rocaf_1;☀ P-47D
p-47d_23_ra_china_rocaf_2;☀ P-47

p-47d_30_china_shop;☀ F-47D-30-RE
p-47d_30_china_0;"<color=#81c3fc>Republic Aviation Corporation AP-10</color>
☀ F-47D-30-RE型驅逐機"
p-47d_30_china_1;☀ F-47D
p-47d_30_china_2;☀ F-47

f_47n_25_re_china_shop;☀ F-47N-25-RE
f_47n_25_re_china_0;"<color=#81c3fc>Republic Aviation Corporation AP-10</color>
☀ F-47N-25-RE型驅逐機"
f_47n_25_re_china_1;☀ F-47N
f_47n_25_re_china_2;☀ F-47

p-51d-20_china_shop;☀ F-51D-20-NA
p-51d-20_china_0;"<color=#81c3fc>North American Aviation NA-122</color>
☀ F-51D-20-NA型驅逐機「野馬機」"
p-51d-20_china_1;☀ F-51D
p-51d-20_china_2;☀ F-51

p-51k_shop;☀ F-51K-15-NT
p-51k_0;"<color=#81c3fc>North American Aviation NA-111</color>
☀ F-51K-15-NT型驅逐機「野馬機」"
p-51k_1;☀ F-51K
p-51k_2;☀ F-51

p-51c-11-nt_china_shop;☀ P-51C-11-NT
p-51c-11-nt_china_0;"<color=#81c3fc>North American Aviation NA-103</color>
☀ P-51C-11-NT型驅逐機「野馬機」
<color=@currencyGoldColor>«Evalina»</color>"
p-51c-11-nt_china_1;☀ P-51C
p-51c-11-nt_china_2;☀ P-51

ki_44_2_hei_china_shop;☀ 二式戰二型丙
ki_44_2_hei_china_0;"<color=#81c3fc>中島飛行機</color>
☀ 二式戰鬥機二型丙「鍾馗」"
ki_44_2_hei_china_1;☀ 二式戰二型
ki_44_2_hei_china_2;☀ 二式戰

ki_61_1a_otsu_china_shop;☀ 三式戰一型乙
ki_61_1a_otsu_china_0;"<color=#81c3fc>川崎航空機工業</color>
☀ 三式戰鬥機一型乙「飛燕」"
ki_61_1a_otsu_china_1;☀ 三式戰一型
ki_61_1a_otsu_china_2;☀ 三式戰

mosquito_fb_mk26_china_shop;FB-26
mosquito_fb_mk26_china_0;"<color=#81c3fc>de Havilland Aircraft Company D.H. 98</color>
FB-26轟炸機"
mosquito_fb_mk26_china_1;FB-26
mosquito_fb_mk26_china_2;FB-26

p-38l_1_china_rocaf_shop;☀ P-38L-1-LO
p-38l_1_china_rocaf_0;"<color=#81c3fc>Lockheed Corporation Model 422-87-23</color>
☀ P-38L-1-LO型驅逐機「雙身機」"
p-38l_1_china_rocaf_1;☀ P-38L
p-38l_1_china_rocaf_2;☀ P-38

b_25j_30_china_shop;☀ B-25J-30-NC
b_25j_30_china_0;"<color=#81c3fc>North American Aviation NA-108</color>
☀ B-25J-30-NC型轟炸機"
b_25j_30_china_1;☀ B-25J
b_25j_30_china_2;☀ B-25

a6m2_zero_china_shop;☀ 〇式戰二一型
a6m2_zero_china_0;"<color=#81c3fc>三菱重工業</color>
☀ 〇式戰鬥機二一型「零」"
a6m2_zero_china_1;☀ 〇式戰二一型
a6m2_zero_china_2;☀ 〇式戰

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 4
la-11_china_shop;␗ 拉11
la-11_china_0;"<color=#81c3fc>Opytno-konstruktorskoye bûro № 301</color>
␗ 拉11型飞机"
la-11_china_1;␗ 拉11
la-11_china_2;␗ 拉11

la-9_china_shop;␗ 拉9
la-9_china_0;"<color=#81c3fc>Opytno-konstruktorskoye bûro № 301</color>
␗ 拉9型飞机"
la-9_china_1;␗ 拉9
la-9_china_2;␗ 拉9

il-10_1946_china_shop;␗ 伊尔10 (1947)
il-10_1946_china_0;"<color=#81c3fc>Opytno-konstruktorskoye bûro № 39</color>
␗ 伊尔10型飞机
<color=#adadad>(1947)</color>"
il-10_1946_china_1;␗ 伊尔10
il-10_1946_china_2;␗ 伊尔10

pb4y-2_china_shop;☀ P4Y-2
pb4y-2_china_0;"<color=#81c3fc>Consolidated Vultee Aircraft Corporation Model 100</color>
☀ P4Y-2型巡邏機"
pb4y-2_china_1;☀ P4Y-2
pb4y-2_china_2;☀ P4Y

tu-2_postwar_china_shop;␗ 杜2S-44
tu-2_postwar_china_0;"<color=#81c3fc>Czyentral'noye konstruktorskoye bûro № 29</color>
␗ 杜2S-44型飞机"
tu-2_postwar_china_1;␗ 杜2S
tu-2_postwar_china_2;␗ 杜2

quing_6_shop;青6
