<ID|readonly|noverify>;<English>
//AI UNITS

//GROUPS

//KILLSTREAK VEHICLES

//NON-NATIONAL VEHICLES

//AIRCRAFT - VEHICLE/FAMILY START: RANK 1
h-75n_shop;บ.ข.๑๑
h-75n_0;"<color=#81c3fc>Curtiss-Wright Corperation Hawk Model 75N</color>
เครื่องบินขับไล่แบบที่ ๑๑"
h-75n_1;บ.ข.๑๑
h-75n_2;บ.ข.๑๑

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//AIRCRAFT - VEHICLE/FAMILY START: RANK 3
sb2c_5_thailand_shop;บ.จ.๓
sb2c_5_thailand_0;"<color=#81c3fc>Curtiss-Wright Corporation Model 84G</color>
เครื่องบินโจมตีแบบที่ ๓"
sb2c_5_thailand_1;บ.จ.๓
sb2c_5_thailand_2;บ.จ.๓

//AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//AIRCRAFT - VEHICLE/FAMILY START: RANK 5
f-84g_thailand_shop;บ.ข.๑๖
f-84g_thailand_0;"<color=#81c3fc>Republic Aviation Corporation AP-23</color>
เครื่องบินขับไล่แบบที่ ๑๖"
f-84g_thailand_1;บ.ข.๑๖
f-84g_thailand_2;บ.ข.๑๖

//AIRCRAFT - VEHICLE/FAMILY START: RANK 6
alpha_jet_a_thailand_shop;บ.จ.๗
alpha_jet_a_thailand_0;"<color=#81c3fc>Avions Marcel Dassault-Breguet Aviation <color=@commonTextColor>/</color> Dornier Flugzeugwerke</color>
เครื่องบินโจมตีแบบที่ ๗"
alpha_jet_a_thailand_1;บ.จ.๗
alpha_jet_a_thailand_2;บ.จ.๗

alpha_jet_th_phase_1_shop;บ.จ.๗ (2004)
alpha_jet_th_phase_1_0;"<color=#81c3fc>Avions Marcel Dassault-Breguet Aviation <color=@commonTextColor>/</color> Dornier Flugzeugwerke</color>
เครื่องบินโจมตีแบบที่ ๗
<color=#9e9e9e>(2004)</color>"
alpha_jet_th_phase_1_1;บ.จ.๗
alpha_jet_th_phase_1_2;บ.จ.๗

//AIRCRAFT - VEHICLE/FAMILY START: RANK 7
a_7e_thailand_shop;บ.จต.๑ก
a_7e_thailand_0;"<color=#81c3fc>LTV Corporation</color>
เครื่องบินโจมตีแบบที่ ๑ก"
a_7e_thailand_1;บ.จต.๑ก
a_7e_thailand_2;บ.จต.๑

av_8s_thailand_shop;บ.ขล.๑ก (early)
av_8s_thailand_0;"<color=#81c3fc>Hawker Siddeley Aviation</color>
เครืองบินขับไล่แบบที่ ๑ก
<color=#9e9e9e>(early)</color>"
av_8s_thailand_1;บ.ขจ.๑ก
av_8s_thailand_2;บ.ขจ.๑

av_8s_late_thailand_shop;บ.ขล.๑ก (late)
av_8s_late_thailand_0;"<color=#81c3fc>Hawker Siddeley Aviation</color>
เครืองบินขับไล่แบบที่ ๑ก
<color=#9e9e9e>(late)</color>"
av_8s_late_thailand_1;บ.ขล.๑ก
av_8s_late_thailand_2;บ.ขล.๑

f-5a_thailand_shop;บ.ข.๑๘
f-5a_thailand_0;"<color=#81c3fc>Northrop Corporation N-156F</color>
เครื่องบินขับไล่แบบที่ ๑๘"
f-5a_thailand_1;บ.ข.๑๘
f-5a_thailand_2;บ.ข.๑๘

f-5t_thailand_shop;บ.ข.๑๘ข (2003)
f-5t_thailand_0;"<color=#81c3fc>Northrop Corporation F-5-21 <color=@commonTextColor>/</color> Elbit Systems F-5T Tigris</color>
เครื่องบินขับไล่แบบที่ ๑๘ข
<color=#9e9e9e>(2003)</color>"
f-5t_thailand_1;บ.ข.๑๘ข
f-5t_thailand_2;บ.ข.๑๘

f-5e_fcu_thailand_shop;บ.ข.๑๘ข (1988)
f-5e_fcu_thailand_0;"<color=#81c3fc>Northrop Corporation F-5-21</color>
เครื่องบินขับไล่แบบที่ ๑๘ข
<color=#9e9e9e>(1988)</color>"
f-5e_fcu_thailand_1;บ.ข.๑๘ข
f-5e_fcu_thailand_2;บ.ข.๑๘

f-5th_thailand_shop;บ.ข.๑๘ข (2014)
f-5th_thailand_0;"<color=#81c3fc>Northrop Corporation F-5-21 <color=@commonTextColor>/</color> Elbit Systems F-5TH Super Tigris</color>
เครื่องบินขับไล่แบบที่ ๑๘ข
<color=#9e9e9e>(2014)</color>"
f-5th_thailand_1;บ.ข.๑๘ข
f-5th_thailand_2;บ.ข.๑๘

//AIRCRAFT - VEHICLE/FAMILY START: RANK 8
f_16a_block_15_ocu_thailand_shop;บ.ข.๑๙
f_16a_block_15_ocu_thailand_0;"<color=#81c3fc>General Dynamics Corporation</color>
เครื่องบินขับไล่แบบที่ ๑๙"
f_16a_block_15_ocu_thailand_1;บ.ข.๑๙
f_16a_block_15_ocu_thailand_2;บ.ข.๑๙

saab_jas39c_thailand_shop;บ.ข.๒๐
saab_jas39c_thailand_0;"<color=#81c3fc>Saab 39 Gripen C</color>
เครื่องบินขับไล่แบบที่ ๒๐"
saab_jas39c_thailand_1;บ.ข.๒๐
saab_jas39c_thailand_2;บ.ข.๒๐

//HELICOPTERS - VEHICLE/FAMILY START: RANK 5
jp_m163_vulcan_shop;ปตอ. เอ็ม ๑๖๓
jp_m163_vulcan_0;"<color=#81c3fc>General Electric Company</color>
ปืนต่อสู้อากาศยาน ๒๐ มม อัตตาจรแบบ เอ็ม ๑๖๓"
jp_m163_vulcan_1;ปตอ. เอ็ม ๑๖๓
jp_m163_vulcan_2;SPAAG

//HELICOPTERS - VEHICLE/FAMILY START: RANK 6
jp_btr_3e1_shop;บีทีอาร์ ๓ อี ๑
jp_btr_3e1_0;"<color=#81c3fc>Kharkìvs'kye konstruktors'kye bûro z mašinobuduvannâ ìm. O. O.
Morozova</color>
รถเกราะล้อยาง บีทีอาร์ ๓ อี ๑"
jp_btr_3e1_1;บีทีอาร์ ๓ อี ๑
jp_btr_3e1_2;IFV

jp_m60a3_tts_shop;ถ.หลัก เอ็ม ๖๐ เอ ๓
jp_m60a3_tts_0;"<color=#81c3fc>Chrysler Defense Engineering</color>
รถถังหลัก เอ็ม ๖๐ เอ ๓"
jp_m60a3_tts_1;ถ.หลัก เอ็ม ๖๐ เอ ๓
jp_m60a3_tts_2;MBT

jp_stingray_shop;ถ.เบา ๓๒
jp_stingray_0;"<color=#81c3fc>Cadillac Gage Stingray</color>
รถถังเบา ๓๒"
jp_stingray_1;ถ.เบา ๓๒
jp_stingray_2;Light Tank

//HELICOPTERS - VEHICLE/FAMILY START: RANK 7
jp_oplot_t_shop;ถ.หลัก ๕๗
jp_oplot_t_0;"<color=#81c3fc>Kharkìvs'kye konstruktors'kye bûro z mašinobuduvannâ ìm. O. O.
Morozova</color>
รถถังหลัก ๕๗"
jp_oplot_t_1;ถ.หลัก ๕๗
jp_oplot_t_2;MBT

//HELICOPTERS - VEHICLE/FAMILY START: RANK 8

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 7
