<ID|readonly|noverify>;<English>
//AI UNITS

//GROUPS

//KILLSTREAK VEHICLES

//NON-NATIONAL VEHICLES

//AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//AIRCRAFT - VEHICLE/FAMILY START: RANK 5

//AIRCRAFT - VEHICLE/FAMILY START: RANK 6

//AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//AIRCRAFT - VEHICLE/FAMILY START: RANK 8

//HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//HELICOPTERS - VEHICLE/FAMILY START: RANK 8

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6
jp_btr_3e1_shop;Bīthīxār 3 Xī 1
jp_btr_3e1_0;"<color=#81c3fc>Харківське конструкторське бюро з машинобудування ім. О. О.
Морозова</color>
Roth Kerāa Lo Yāng Bīthīxār 3 Xī 1"
jp_btr_3e1_1;Bīthīxār 3 Xī 1
jp_btr_3e1_2;IFV

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7
cn_t_80ud_478be_shop;☪ Т-80УД (ДУ1)
cn_t_80ud_478be_0;"<color=#81c3fc>Харківське конструкторське бюро з машинобудування ім. О. О.
Морозова <color=@commonTextColor>/</color> Харківський завод транспортного машинобудування ім.
В. О. Малишева</color>
<color=#5cae63>Об'єкт 478ДУ1</color>
☪ Т-80УД Береза"
cn_t_80ud_478be_1;☪ Т-80УД
cn_t_80ud_478be_2;MBT

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8
jp_oplot_t_shop;Th.Hlạk 57
jp_oplot_t_0;"<color=#81c3fc>Харківське конструкторське бюро з машинобудування ім. О. О.
Морозова</color>
Roth Thạng Hlạk 57"
jp_oplot_t_1;Th.Hlạk 57
jp_oplot_t_2;MBT

cn_oplot_t_shop;☪ БМ Оплот-М
cn_oplot_t_0;"<color=#81c3fc>Харківське конструкторське бюро з машинобудування ім. О. О.
Морозова</color>
<color=#5cae63>Об'єкт 478ДУ9-1</color>
☪ Бойова машина Оплот-М"
cn_oplot_t_1;☪ БМ Оплот-М
cn_oplot_t_2;MBT

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 7
