//SWEDEN GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1
sw_strv_m31_shop;strv m/31
sw_strv_m31_0;"<color=#81c3fc>Landsverk L-10</color>
stridsvagn m/31"
sw_strv_m31_1;strv m/31
sw_strv_m31_2;Light Tank

sw_strv_m38_shop;strv m/38
sw_strv_m38_0;"<color=#81c3fc>Landsverk L-60-S/I</color>
stridsvagn m/38"
sw_strv_m38_1;strv m/38
sw_strv_m38_2;Light Tank

sw_strv_m40l_shop;strv m/40 LI
sw_strv_m40l_0;"<color=#81c3fc>Landsverk L-60-S/III</color>
stridsvagn m/40 LI"
sw_strv_m40l_1;strv m/40 LI
sw_strv_m40l_2;Light Tank

sw_pvlvv_fm42_shop;20 mm pvlvblav
sw_pvlvv_fm42_0;"<color=#81c3fc>Landsverk</color>
20 mm pansarvärnsluftvärnsbandlavettage"
sw_pvlvv_fm42_1;20 mm pvlvblav
sw_pvlvv_fm42_2;SPAAG

sw_ikv_72_shop;ikv 72
sw_ikv_72_0;"<color=#81c3fc>Landsverk</color>
infanterikanonvagn 72"
sw_ikv_72_1;ikv 72
sw_ikv_72_2;SPG

sw_sav_m43_1944_shop;sav m/43
sw_sav_m43_1944_0;"<color=#81c3fc>Scania-Vabis</color>
stormartillerivagn m/43"
sw_sav_m43_1944_1;sav m/43
sw_sav_m43_1944_2;SPG

sw_sav_m43_1946_shop;sav m/43 (1946)
sw_sav_m43_1946_0;"<color=#81c3fc>Scania-Vabis</color>
stormartillerivagn m/43
<color=#adadad>(1946)</color>"
sw_sav_m43_1946_1;sav m/43
sw_sav_m43_1946_2;SPG

sw_strv_m39_shop;strv m/39
sw_strv_m39_0;"<color=#81c3fc>Landsverk L-60-S/II</color>
stridsvagn m/39"
sw_strv_m39_1;strv m/39
sw_strv_m39_2;Light Tank

sw_strv_m39_td_shop;⋦ strv m/39
sw_strv_m39_td_0;"<color=#81c3fc>Landsverk L-60-S/II</color>
⋦ stridsvagn m/39"
sw_strv_m39_td_1;⋦ strv m/39
sw_strv_m39_td_2;Light Tank

sw_pbil_m40_shop;pbil m/40
sw_pbil_m40_0;"<color=#81c3fc>Landsverk Lynx <color=@commonTextColor>/</color> Volvo</color>
pansarbil m/40"
sw_pbil_m40_1;pbil m/40
sw_pbil_m40_2;Light Tank

//SWEDEN GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2
sw_strv_m41_s1_shop;strv m/41 S I
sw_strv_m41_s1_0;"<color=#81c3fc>Scania-Vabis</color>
stridsvagn m/40 S I"
sw_strv_m41_s1_1;strv m/41 S I
sw_strv_m41_s1_2;Light Tank

sw_strv_m41_s2_shop;strv m/41 S II
sw_strv_m41_s2_0;"<color=#81c3fc>Scania-Vabis</color>
stridsvagn m/40 S II"
sw_strv_m41_s2_1;strv m/41 S II
sw_strv_m41_s2_2;Light Tank

sw_pvkv_III_shop;pvkv III
sw_pvkv_III_0;"<color=#81c3fc>Scania-Vabis</color>
pansarvärnskanonvagn III"
sw_pvkv_III_1;pvkv III
sw_pvkv_III_2;SPG

sw_lago_1_shop;Lago I
sw_lago_1_0;<color=#81c3fc>Landsverk Lago I</color>
sw_lago_1_1;Lago I
sw_lago_1_2;Medium tank

sw_strv_m42_eh_shop;strv m/42 EH
sw_strv_m42_eh_0;"<color=#81c3fc>Landsverk Lago IV</color>
stridsvagn m/42 EH"
sw_strv_m42_eh_1;strv m/42 EH
sw_strv_m42_eh_2;Medium tank

sw_strv_m42_delat_torn_shop;strv m/42 TM (DT)
sw_strv_m42_delat_torn_0;"<color=#81c3fc>Landsverk Lago II</color>
stridsvagn m/42 TM
<color=#adadad>(delat torn)</color>"
sw_strv_m42_delat_torn_1;strv m/42 TM
sw_strv_m42_delat_torn_2;Medium tank

sw_pbv_301_shop;pbv 301
sw_pbv_301_0;"<color=#81c3fc>Hägglund & Söner</color>
pansarbandvagn 301"
sw_pbv_301_1;pbv 301
sw_pbv_301_2;APC

sw_tgdgb_m40_lv_shop;tgdbil m/40 (lvakan m/36)
sw_tgdgb_m40_lv_0;"<color=#81c3fc>Volvo typ TVA</color>
terrängdragbil m/40
<color=#adadad>(40 mm luftvärnsautomatkanon m/36)</color>"
sw_tgdgb_m40_lv_1;tgdbil m/40 (lvakan m/36)
sw_tgdgb_m40_lv_2;SPAAG

sw_stormpjas_fm43_44_shop;spj fm/43-44
sw_stormpjas_fm43_44_0;"<color=#81c3fc>Scania-Vabis</color>
stormpjäs fm/43-44 ""Trätoffelvagnen"""
sw_stormpjas_fm43_44_1;spj fm/43-44
sw_stormpjas_fm43_44_2;SPG

sw_ikv_73_shop;ikv 73
sw_ikv_73_0;"<color=#81c3fc>Landsverk Lago IV</color>
infanterikanonvagn 73"
sw_ikv_73_1;ikv 73
sw_ikv_73_2;Infantry Tank

//SWEDEN GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//SWEDEN GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4
sw_bkan_1c_shop;15,5 cm bkan 1C
sw_bkan_1c_0;"<color=#81c3fc>Bofors Vagnkanon 155 mm L/50</color>
15,5 cm bandkanon 1C"
sw_bkan_1c_1;bkan 1C
sw_bkan_1c_2;SPG

//SWEDEN GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//SWEDEN GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6

//SWEDEN GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7

//SWEDEN GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8
