<ID|readonly|noverify>;<English>
//GROUPS
shop/group/beaufighter_group;Beaufighter Mk. VIc / T.F. Mk. X / ▄ 21
shop/group/spitfire_mk5b_group;Spitfire F. Mk. Vb (trop.) / Vb
shop/group/spitfire_mk5c_group;Spitfire F. Mk. Vc (trop.) / Vc
shop/group/uk_g6_tortoise_group;GV6 Mk 1 / Tortoise
shop/group/uk_fv510_zt3_group;Warrior / Ratel ZT3-A2
shop/group/uk_vickers_olifant_group;Vickers Mk. 3 / Olifant Mk 1A
shop/group/uk_vickers_rooikat_group;Vickers Mk. 11 / Rooikat Mk 1D

//UK AIRCRAFT - VEHICLE/FAMILY START: RANK 1
fury_mk1_shop;Fury Mk. I
fury_mk1_0;"<color=#81c3fc>H. G. Hawker Engineering</color>
Fury Mk. I"
fury_mk1_1;Fury Mk. I
fury_mk1_2;Fury

fury_mk2_shop;Fury Mk. II
fury_mk2_0;"<color=#81c3fc>Hawker Aircraft</color>
Fury Mk. II"
fury_mk2_1;Fury Mk. II
fury_mk2_2;Fury

gladiator_mk2_france_shop;Gladiator Mk. II (B.E.F.)
gladiator_mk2_france_0;"<color=#81c3fc>Gloster Aircraft Company SS.37</color>
Gladiator Mk. II
<color=@currencyGoldColor>British Expeditionary Forces</color>"
gladiator_mk2_france_1;Gladiator Mk. II
gladiator_mk2_france_2;Gladiator

gladiator_mk2_silver_shop;Gladiator Mk. II (Silver)
gladiator_mk2_silver_0;"<color=#81c3fc>Gloster Aircraft Company SS.37</color>
Gladiator Mk. II
<color=#adadad>(Silver Finish)</color>"
gladiator_mk2_silver_1;Gladiator Mk. II
gladiator_mk2_silver_2;Gladiator

gladiator_mk2_shop;Gladiator Mk. II
gladiator_mk2_0;"<color=#81c3fc>Gloster Aircraft Company SS.37</color>
Gladiator Mk. II"
gladiator_mk2_1;Gladiator Mk. II
gladiator_mk2_2;Gladiator

gladiator_mk2_navy_shop;Sea Gladiator Mk. I
gladiator_mk2_navy_0;"<color=#81c3fc>Gloster Aircraft Company SS.37</color>
Sea Gladiator Mk. I"
gladiator_mk2_navy_1;Sea Gladiator Mk. I
gladiator_mk2_navy_2;Sea Gladiator

gladiator_mk2_tuck_shop;Tuck's Gladiator Mk. II
gladiator_mk2_tuck_0;"<color=#81c3fc>Gloster Aircraft Company SS.37</color>
Gladiator Mk. II
<color=@currencyGoldColor>Robert S. Tuck's</color>"
gladiator_mk2_tuck_1;Gladiator Mk. II
gladiator_mk2_tuck_2;Gladiator

nimrod_mk1_shop;Nimrod Mk. I
nimrod_mk1_0;"<color=#81c3fc>Hawker Aircraft HN1</color>
Nimrod Mk. I"
nimrod_mk1_1;Nimrod Mk. I
nimrod_mk1_2;Nimrod

nimrod_mk2_shop;Nimrod Mk. II
