<ID|readonly|noverify>;<English>
//GROUPS
shop/group/fr_hotchkiss_fcm_group;A.M.C. 34 / H. 35 / F.C.M. 36
shop/group/fr_mars_hot_group;MARS 15 / Char 13t-75 (HOT)
shop/group/fr_amx_sk_group;A.M.X. 10 RC / SK105-A2
shop/group/fr_lorraine_bat_group;Lorraine 40t / B.C. 25t
shop/group/fr_amx_30_group;AMX 30B2 / B2 BRENUS
shop/group/fr_leclerc_group;Leclerc S1 / S2
shop/group/fr_b1_2c_group;B. 1 bis / 2 C
shop/group/fr_arl_jumbo_group;C.D.C. 48t / ☨ M4A3E2
shop/group/fr_m44_55_group;▄ M44 / 55
shop/group/fr_auf_acra_group;AMX 30 Au F1 / 10M
shop/group/fr_amx_32_group;AMX 32 P1 / 2
shop/group/fr_lorraine_elc_group;C.A. 100 / E.L.C. bis
shop/group/fr_foch_acra_group;C.A. 120 / A.M.X. 10 M
shop/group/fr_aml_amx_group;A.M.L. 90 / Char 13t-90
shop/group/fr_samp_t_fcs_group;☨ SAMP/T (MRI) / (MLT)

//FRANCE GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1
fr_amc_34_shop;A.M.C. 34 (A.P.X. 1)
fr_amc_34_0;Société anonyme des usines Renault Y.R. | Automitrailleuse de cavalerie type combat modèle 1934 avec tourelle A.P.X. 1
fr_amc_34_1;A.M.C. 34
fr_amc_34_2;Cavalry Armored Combat Car
fr_hotchkiss_h35_shop;H. 35
fr_hotchkiss_h35_0;Société Anonyme des Anciens Etablissements Hotchkiss et Compagnie | Char léger modèle 1935 Hotchkiss
fr_hotchkiss_h35_1;H. 35
fr_hotchkiss_h35_2;Light Tank
fr_hotchkiss_h39_shop;H. 39
fr_hotchkiss_h39_0;Société Anonyme des Anciens Etablissements Hotchkiss et Compagnie | Char léger modèle 1935 Hotchkiss modifié 39
fr_hotchkiss_h39_1;H. 39
fr_hotchkiss_h39_2;Light Tank
fr_hotchkiss_h39_cambronne_shop;H. 39 (14e B.C.C.)
fr_hotchkiss_h39_cambronne_0;Société Anonyme des Anciens Etablissements Hotchkiss et Compagnie | Char léger modèle 1935 Hotchkiss modifié 39 (14ème bataillons de chars de combat) «Cambronne»
fr_hotchkiss_h39_cambronne_1;H. 39
fr_hotchkiss_h39_cambronne_2;Light Tank
fr_fcm_36_shop;F.C.M. 36
fr_fcm_36_0;Société nouvelle des forges et chantiers de la Méditerranée | Char léger modèle 1936 F.C.M.
fr_fcm_36_1;F.C.M. 36
fr_fcm_36_2;Light Tank
fr_amd_35_shop;A.M.D. 35
fr_amd_35_0;Panhard et Levassor voiture spéciale type 178 | Automitrailleuse de cavalerie type découverte modèle 1935
fr_amd_35_1;A.M.D. 35
fr_amd_35_2;Cavalry Armored Reconnaissance Car
fr_amd_35_sa35_shop;A.M.D. 35 (47 S.A. 35)
fr_amd_35_sa35_0;Panhard et Levassor voiture spéciale type 178 | Automitrailleuse de cavalerie type découverte modèle 1935 avec tourelle Renault (Canon de 47 mm semi-automatique modèle 1935)
fr_amd_35_sa35_1;A.M.D. 35
fr_amd_35_sa35_2;Cavalry Armored Reconnaissance Car
fr_amc_35_shop;A.M.C. 35
fr_amc_35_0;Société anonyme des usines Renault A.C.G. 1 | Automitrailleuse de cavalerie type combat modèle 1935
fr_amc_35_1;A.M.C. 35
fr_amc_35_2;Cavalry Armored Combat Car
fr_saint_chamond_shop;St Chamond mle. 1918
fr_saint_chamond_0;Compagnie des forges et aciéries de la marine et d'Homécourt | Char d'assaut Saint-Chamond modèle 1918
fr_saint_chamond_1;St Chamond mle. 1918
fr_saint_chamond_2;Assault Tank
fr_renault_r39_shop;R. 35 (37 S.A. 38)
fr_renault_r39_0;Société anonyme des usines Renault Z.M. | Char léger modèle 1935 Renault (Canon de 37 mm semi-automatique modèle 1938)
fr_renault_r39_1;R. 35
fr_renault_r39_2;Light Tank
fr_renault_d2_shop;D. 2 (1940)
fr_renault_d2_0;Société anonyme des usines Renault U.Z. | Char moyen D. 2 (1940)
fr_renault_d2_1;D. 2
fr_renault_d2_2;Medium Tank
fr_citroen_kegresse_p4t_shop;P.7.T. (C.A.Q. mle. 1929)
fr_citroen_kegresse_p4t_0;Société anonyme André Citroën Autochenille Citroën muni de propulseur Kégresse-Hinstin type P.7.T. (Contre avions quadruple modèle 1929)
fr_citroen_kegresse_p4t_1;P.7.T. (C.A.Q. mle. 1929)
fr_citroen_kegresse_p4t_2;SPAAG
fr_somua_s35_shop;S. 35
fr_somua_s35_0;Société d'outillage mécanique et d'usinage d'artillerie A.C. 4 | Char de cavalerie modèle 1935 S.O.M.U.A.
fr_somua_s35_1;S. 35
fr_somua_s35_2;Cavalry Tank
fr_amr_35_zt3_shop;A.M.R. 35 (Z.T. 3)
fr_amr_35_zt3_0;Société anonyme des usines Renault Z.T. 3 | Automitrailleuse de cavalerie type reconnaissance modèle 1935
fr_amr_35_zt3_1;A.M.R. 35 (Z.T. 3)
fr_amr_35_zt3_2;Cavalry Armored Reconnaissance Car
fr_lorraine_37l_shop;T.R.C. 37 L (47 S.A. 37)
fr_lorraine_37l_0;Lorraine | Canon de 47 S.A. modèle 1937 sur T.R.C. 37 L blindé
fr_lorraine_37l_1;T.R.C. 37 L (47 S.A. 37)
fr_lorraine_37l_2;SPG
fr_somua_sau40_shop;S.Au. 40
fr_somua_sau40_0;Société d'outillage mécanique et d'usinage d'artillerie CAM 2 | Canon de 75 automoteur S.O.M.U.A.
fr_somua_sau40_1;S.Au. 40
fr_somua_sau40_2;SPG
fr_char_2c_bis_shop;2 C bis
fr_char_2c_bis_0;Société nouvelle des forges et chantiers de la Méditerranée | Char de bataille 2 C bis
fr_char_2c_bis_1;2 C bis
fr_char_2c_bis_2;Heavy Tank
fr_char_2c_shop;2 C
fr_char_2c_0;Société nouvelle des forges et chantiers de la Méditerranée | Char de bataille 2 C
fr_char_2c_1;2 C
fr_char_2c_2;Heavy Tank

//FRANCE GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2
fr_amd_35_kwk39_shop;☨ le.Pz.Spw. 204 (f) (Kw.K. 39/1)
fr_amd_35_kwk39_0;☨ Panhard | leichter Panzerspähwagen 204 (f) m. 5cm Kw.K. 39/1 L/60
fr_amd_35_kwk39_1;☨ le.Pz.Spw. 204 (f)
fr_amd_35_kwk39_2;Light tank
fr_b1_bis_shop;B. 1 bis
fr_b1_bis_0;Atelier de construction de Rueil | Char de bataille B. 1 bis
fr_b1_bis_1;B. 1 bis
fr_b1_bis_2;Heavy Tank
fr_b1_ter_shop;B. 1 ter (n° 101)
fr_b1_ter_0;Atelier de construction de Rueil | Char de bataille B. 1 ter (Prototype n° 101)
fr_b1_ter_1;B. 1 ter
fr_b1_ter_2;Heavy Tank
fr_m10_shop;☨ M10
fr_m10_0;☨ Grand Blanc Tank Arsenal | AAffût auto-moteur M10 pour canon de 3 pouces
fr_m10_1;☨ M10
fr_m10_2;Tank Destroyer
fr_amx_13_chaffee_shop;Char 13t (tourelle M 24)
fr_amx_13_chaffee_0;Atelier de construction d'Issy-les-Moulineaux | Char à tourelle M 24 sur châssis 13 tonnes modèle 51
fr_amx_13_chaffee_1;Char 13t
fr_amx_13_chaffee_2;Light Tank
fr_amx_13_fl_11_shop;Char 13t-75 (F.L. 11)
fr_amx_13_fl_11_0;Atelier de construction d'Issy-les-Moulineaux | Char de 13 tonnes de 75 avec tourelle F.L. 11
fr_amx_13_fl_11_1;Char 13t-75
fr_amx_13_fl_11_2;Light Tank
fr_amx_13_dca_40_shop;Char 13t D.C.A.
fr_amx_13_dca_40_0;Atelier de construction d'Issy-les-Moulineaux / Société d'Applications des Machines Motrices | Char de 13 tonnes à tourelle D.C.A. AB-380 avec canon de 40 L. 70 Bofors
fr_amx_13_dca_40_1;Char 13t D.C.A.
fr_amx_13_dca_40_2;SPAAG
fr_amx_13_75_shop;Char 13t-75 mle. 51
fr_amx_13_75_0;Atelier de construction d'Issy-les-Moulineaux | Char de 13 tonnes de 75 modèle 1951
fr_amx_13_75_1;Char 13t-75
fr_amx_13_75_2;Light Tank
fr_amx_13_75_ss11_shop;Char 13t-75 mle. 51 (SS.11)
fr_amx_13_75_ss11_0;Atelier de construction d'Issy-les-Moulineaux | Char de 13 tonnes de 75 modèle 1951 porté SS.11
fr_amx_13_75_ss11_1;Char 13t-75
fr_amx_13_75_ss11_2;Light Tank
fr_amx_13_90_shop;Char 13t-90
fr_amx_13_90_0;Atelier de construction d'Issy-les-Moulineaux | Char de 13 tonnes de 90
fr_amx_13_90_1;Char 13t-75
fr_amx_13_90_2;Light Tank
fr_amx_13_hot_shop;Char 13t-75 mle. 51 (HOT)
fr_amx_13_hot_0;Atelier de construction d'Issy-les-Moulineaux | Char de 13 tonnes de 75 modèle 1951 porté HOT
fr_amx_13_hot_1;Char 13t-75
fr_amx_13_hot_2;Light Tank

//FRANCE GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3
fr_panhard_ebr_1951_shop;E.B.R. 75 mle. 51
fr_panhard_ebr_1951_0;Panhard type 212 | Engin blindé de reconnaissance de 75 modèle 1951 avec tourelle F.L. 11
fr_panhard_ebr_1951_1;E.B.R. 75 mle. 51
fr_panhard_ebr_1951_2;Light Tank
fr_panhard_ebr_1954_shop;E.B.R. 75 mle. 54
fr_panhard_ebr_1954_0;Panhard type 212 | Engin blindé de reconnaissance de 75 modèle 1954 avec tourelle F.L. 10
fr_panhard_ebr_1954_1;E.B.R. 75 mle. 54
fr_panhard_ebr_1954_2;Light Tank
fr_panhard_ebr_1963_shop;E.B.R. 75 mle. 63
fr_panhard_ebr_1963_0;Panhard type 212 | Engin blindé de reconnaissance de 75 modèle 1963 avec tourelle F.L. 11
fr_panhard_ebr_1963_1;E.B.R. 75 mle. 63
fr_panhard_ebr_1963_2;Light Tank
fr_m4a4_cn_75_50_shop;☨ M4A4T (75 S.A. 50)
fr_m4a4_cn_75_50_0;☨ Detroit Arsenal Tank Plant | Char moyen M4A4T (Canon de 75 mm semi-automatique modèle 1950)
fr_m4a4_cn_75_50_1;☨ M4A4T
fr_m4a4_cn_75_50_2;Medium Tank
fr_arl_44_acl1_shop;A.R.L. 44 (A.C.L. 1)
fr_arl_44_acl1_0;Atelier de Construction de Rueil | Char de transition A.R.L. 44 avec tourelle A.C.L. 1
fr_arl_44_acl1_1;A.R.L. 44
fr_arl_44_acl1_2;Heavy Tank
fr_arl_44_shop;C.D.C. 48t
fr_arl_44_0;Atelier de Construction de Rueil | Chasseur de chars de 48 tonnes
fr_arl_44_1;C.D.C. 48t
fr_arl_44_2;Heavy Tank
fr_tpk_641_vpc_shop;V.L.R.A. 6x6 (GAI-D01)
fr_tpk_641_vpc_0;Ateliers de construction mécanique de l'Atlantique TPK 6.41 Véhicule de protection de convoi | Véhicule léger de reconnaissance et d'appui 6x6 (20 mm Twin Anti-Aircraft and Ground Support Gun Type GAI-D01)
fr_tpk_641_vpc_1;V.L.R.A. 6x6 (GAI-D01)
fr_tpk_641_vpc_2;SPAAG
fr_m55_shop;▄ M55
fr_m55_0;▄ Pacific Car and Foundry Company | G-261 | Howitzer, Heavy, Self-Propelled, Full Tracked: 8-Inch, M55
fr_m55_1;▄ M55
fr_m55_2;SPH
fr_m36b2_cefeo_shop;☨ M36B2
fr_m36b2_cefeo_0;☨ American Locomotive Company | Affût auto-moteur M36B2 pour canon de 90 mm
fr_m36b2_cefeo_1;☨ M36B2
fr_m36b2_cefeo_2;Tank Destroyer

//FRANCE GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4
fr_amx_elc_bis_shop;E.L.C. bis
fr_amx_elc_bis_0;Atelier de construction d'Issy-les-Moulineaux | Engin léger de combat bis avec tourelle-casemate de 90
fr_amx_elc_bis_1;E.L.C. bis
fr_amx_elc_bis_2;Light Tank
fr_amx_elc_901_shop;E.L.C. (T.C. 901)
fr_amx_elc_901_0;Atelier de construction d'Issy-les-Moulineaux | Engin léger de combat avec tourelle-casemate 901
fr_amx_elc_901_1;E.L.C.
fr_amx_elc_901_2;Light Tank
fr_amx_m4_shop;A.M.X. M. 4
fr_amx_m4_0;Atelier de construction d'Issy-les-Moulineaux | Char moyen M. 4 A.M.X.
fr_amx_m4_1;A.M.X. M. 4
fr_amx_m4_2;Medium Tank
fr_amx_10p_shop;A.M.X. 10 P
fr_amx_10p_0;Atelier de construction d'Issy-les-Moulineaux | Engin blindé léger personnel A.M.X. 10 P
fr_amx_10p_1;A.M.X. 10 P
fr_amx_10p_2;IFV
fr_amx_10m_acra_shop;A.M.X. 10 M (ACRA)
fr_amx_10m_acra_0;Atelier de construction d'Issy-les-Moulineaux | Engin blindé léger missile A.M.X. 10 M avec système d'arme ACRA
fr_amx_10m_acra_1;A.M.X. 10 M
fr_amx_10m_acra_2;ATMC
fr_amx_10rc_shop;A.M.X. 10 RC
fr_amx_10rc_0;Atelier de construction d'Issy-les-Moulineaux | Vehicule à roues-canon A.M.X. 10 RC
fr_amx_10rc_1;A.M.X. 10 RC
fr_amx_10rc_2;Light Tank
fr_lorraine_100_shop;C.A. 100
fr_lorraine_100_0;Direction des Etudes et Fabrication d'Armement | Canon d'assaut de 100 Lorraine
fr_lorraine_100_1;C.A. 100
fr_lorraine_100_2;SPG

//FRANCE GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5
fr_aml_90_shop;A.M.L. 90
fr_aml_90_0;Panhard type 245 | Automitrailleuse légère A.M.L. 90
fr_aml_90_1;A.M.L. 90
fr_aml_90_2;Light Tank
fr_marder_df_105_shop;☨ DF 105
fr_marder_df_105_0;☨ Thyssen Henschel DF 105
fr_marder_df_105_1;☨ DF 105
fr_marder_df_105_2;Light tank
fr_lorraine_40t_shop;Lorraine 40t
fr_lorraine_40t_0;Direction des Etudes et Fabrication d'Armement | Char moyen de 40 tonnes Lorraine avec tourelle T.O.A. 100
fr_lorraine_40t_1;Lorraine 40t
fr_lorraine_40t_2;Medium Tank
fr_bat_chat_25t_shop;B.C. 25t
fr_bat_chat_25t_0;Société de Construction des Batignolles | Char de 25 tonnes B.C. avec tourelle T.O. 90/930
fr_bat_chat_25t_1;B.C. 25t
fr_bat_chat_25t_2;Light Tank
fr_amx_50_shop;A.M.X. 50t (T.O.A. 100)
fr_amx_50_0;Atelier de construction d'Issy-les-Moulineaux | Char moyen de 50 tonnes A.M.X. avec tourelle T.O.A. 100
fr_amx_50_1;A.M.X. 50t
fr_amx_50_2;Medium Tank
fr_amx_50_surbaisse_shop;A.M.X. 50t Surbaissé
fr_amx_50_surbaisse_0;Atelier de construction d'Issy-les-Moulineaux | Char moyen de 50 tonnes A.M.X. Surbaissé
fr_amx_50_surbaisse_1;A.M.X. 50t
fr_amx_50_surbaisse_2;Medium Tank
fr_amx_50_surblinde_shop;A.M.X. 50t Surblindé
fr_amx_50_surblinde_0;Atelier de construction d'Issy-les-Moulineaux | Char moyen de 50 tonnes A.M.X. Surblindé
fr_amx_50_surblinde_1;A.M.X. 50t
fr_amx_50_surblinde_2;Medium Tank
fr_amx_50_1950_shop;A.M.X. 50t (T.O. 90/930)
fr_amx_50_1950_0;Atelier de construction d'Issy-les-Moulineaux | Char moyen de 50 tonnes A.M.X. avec tourelle T.O. 90/930
fr_amx_50_1950_1;A.M.X. 50t
fr_amx_50_1950_2;Medium Tank
fr_amx_50_foch_shop;C.A. 120
fr_amx_50_foch_0;Atelier de construction d'Issy-les-Moulineaux | Auto-canon de 120
fr_amx_50_foch_1;C.A. 120
fr_amx_50_foch_2;SPG
fr_somua_sm_shop;S.O.M.U.A. 50t
fr_somua_sm_0;Société d'outillage mécanique et d'usinage d'artillerie SM | Char moyen de 50 tonnes S.O.M.U.A. avec tourelle T.O. 100
fr_somua_sm_1;S.O.M.U.A. 50t
fr_somua_sm_2;Medium Tank
fr_marder_clovis_shop;☨ CLOVIS
fr_marder_clovis_0;☨ Thyssen Henschel CLOVIS, FL 20, 105 mm
fr_marder_clovis_1;☨ CLOVIS
fr_marder_clovis_2;Light tank

//FRANCE GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6

//FRANCE GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7
fr_msc_shop;MSC
fr_msc_0;GIAT Industries | Mulet Système Complet
fr_msc_1;MSC
fr_msc_2;MBT
fr_cv_9035_nl_shop;CV9035NL
fr_cv_9035_nl_0;BAE Systems Hägglunds Combat Vehicle 9035NL | Infanteriegevechtsvoertuig, Pantser, Rups, CV9035NL met kanon 35 mm
fr_cv_9035_nl_1;CV9035NL
fr_cv_9035_nl_2;IFV

//FRANCE GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8
fr_samp_t_launcher_shop;☨ SAMP/T (MLT)
fr_samp_t_launcher_0;"☨ Eurosam | Sol-Air Moyenne Portée/Terrestre ""Mamba"" (Module de Lancement Terrestre)"
fr_samp_t_launcher_1;☨ SAMP/T (MLT)
fr_samp_t_launcher_2;SPAAM
fr_samp_t_fcs_shop;☨ SAMP/T (MRI)
fr_samp_t_fcs_0;"☨ Eurosam | Sol-Air Moyenne Portée/Terrestre ""Mamba"" (Module Radar et IFF)"
fr_samp_t_fcs_1;☨ SAMP/T (MRI)
fr_samp_t_fcs_2;Radar
fr_jaguar_ebrc_shop;EBRC Jaguar
